,date,time,latitude,longitude,type,depth,depth_error,depth_seismic_stations,magnitude,magnitude_type,magnitude_error,magnitude_seismic_stations,azimuthal_gap,horizontal_distance,horizontal_error,root_mean_square,id,source,location_source,magnitude_source,status,geocode_data,city,country,latlng,year
0,1/1/2008,6:32:28,40.288000000000004,72.985,Earthquake,6.0,,489.0,5.6,MWC,,,35.1,,,0.94,USP000FVRZ,US,US,GCMT,Reviewed,"{'address_components': [{'long_name': 'Unnamed Road', 'short_name': 'Unnamed Road', 'types': ['route']}, {'long_name': 'Papan', 'short_name': 'Papan', 'types': ['locality', 'political']}, {'long_name': 'Kara-Suu District', 'short_name': 'Kara-Suu District', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Osh Region', 'short_name': 'Osh Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Kyrgyzstan', 'short_name': 'KG', 'types': ['country', 'political']}], 'formatted_address': 'Unnamed Road, Papan, Kyrgyzstan', 'geometry': {'bounds': {'northeast': {'lat': 40.2933569, 'lng': 72.9885936}, 'southwest': {'lat': 40.2916557, 'lng': 72.9812539}}, 'location': {'lat': 40.2925724, 'lng': 72.9848928}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 40.2938552802915, 'lng': 72.9885936}, 'southwest': {'lat': 40.2911573197085, 'lng': 72.9812539}}}, 'place_id': 'ChIJicqg0SnHvTgRglWUIqcWA2I', 'types': ['route']}",Papan,Kyrgyzstan,"40.288,72.985",2008
1,1/1/2008,18:54:59,-5.877999999999999,146.884,Earthquake,34.0,,373.0,6.3,MWC,,,16.5,,,1.13,USP000FVT8,US,US,US,Reviewed,"{'address_components': [{'long_name': 'Morobe Province', 'short_name': 'Morobe Province', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Papua New Guinea', 'short_name': 'PG', 'types': ['country', 'political']}], 'formatted_address': 'Morobe Province, Papua New Guinea', 'geometry': {'bounds': {'northeast': {'lat': -5.281522300000001, 'lng': 148.1153227}, 'southwest': {'lat': -8.031376999999999, 'lng': 145.742827}}, 'location': {'lat': -6.801373700000001, 'lng': 146.561647}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': -5.281522300000001, 'lng': 148.1153227}, 'southwest': {'lat': -8.031376999999999, 'lng': 145.742827}}}, 'place_id': 'ChIJOf0TwK3T82gRaLQDvdvTWrs', 'types': ['administrative_area_level_1', 'political']}",Morobe Province,Papua New Guinea,"-5.878,146.884",2008
2,1/1/2008,19:13:05,-5.902,146.967,Earthquake,35.0,,187.0,5.8,MWC,,,15.2,,,1.15,USP000FVTA,US,US,GCMT,Reviewed,"{'address_components': [{'long_name': 'Papua New Guinea', 'short_name': 'PG', 'types': ['country', 'political']}], 'formatted_address': 'Papua New Guinea', 'geometry': {'bounds': {'northeast': {'lat': -0.6702, 'lng': 159.9609001}, 'southwest': {'lat': -12.0823, 'lng': 140.8419695}}, 'location': {'lat': -6.314992999999999, 'lng': 143.95555}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': -0.6702, 'lng': 159.9609001}, 'southwest': {'lat': -12.0823, 'lng': 140.8419695}}}, 'place_id': 'ChIJr54Ov6_oWWgRehKcjg3l8No', 'types': ['country', 'political']}",,Papua New Guinea,"-5.902,146.967",2008
3,1/4/2008,7:29:18,-2.782,101.03200000000001,Earthquake,35.0,,298.0,6.0,MWC,,,30.9,,,1.1,USP000FVY8,US,US,US,Reviewed,"{'address_components': [{'long_name': 'Indonesia', 'short_name': 'ID', 'types': ['country', 'political']}], 'formatted_address': 'Indonesia', 'geometry': {'bounds': {'northeast': {'lat': 6.216999899999999, 'lng': 141.0425}, 'southwest': {'lat': -11.1082999, 'lng': 94.7351}}, 'location': {'lat': -0.789275, 'lng': 113.921327}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 6.216999899999999, 'lng': 141.0425}, 'southwest': {'lat': -11.1082999, 'lng': 94.7351}}}, 'place_id': 'ChIJtwRkSdcHTCwRhfStG-dNe-M', 'types': ['country', 'political']}",,Indonesia,"-2.782,101.032",2008
4,1/5/2008,1:56:45,14.129000000000001,-91.479,Earthquake,66.2,,357.0,5.6,MWC,,,27.6,,,1.45,USP000FVZW,US,US,US,Reviewed,"{'address_components': [{'long_name': '27', 'short_name': '27', 'types': ['route']}, {'long_name': 'Escuintla', 'short_name': 'Escuintla', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Guatemala', 'short_name': 'GT', 'types': ['country', 'political']}], 'formatted_address': '27, Guatemala', 'geometry': {'bounds': {'northeast': {'lat': 14.1463701, 'lng': -91.4672368}, 'southwest': {'lat': 14.0912195, 'lng': -91.49990849999999}}, 'location': {'lat': 14.1188005, 'lng': -91.48358379999999}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.1463701, 'lng': -91.4672368}, 'southwest': {'lat': 14.0912195, 'lng': -91.49990849999999}}}, 'place_id': 'ChIJp9xm398ij4URHmJ-s6YSUlc', 'types': ['route']}",Escuintla,Guatemala,"14.129,-91.479",2008
5,1/5/2008,7:29:33,-22.82,-68.484,Earthquake,103.0,,338.0,5.7,MWC,,,37.6,,,0.96,USP000FW0K,US,US,GCMT,Reviewed,"{'address_components': [{'long_name': '80', 'short_name': '80', 'types': ['street_number']}, {'long_name': 'Ruta 23', 'short_name': 'Ruta 23', 'types': ['route']}, {'long_name': 'San Pedro de Atacama', 'short_name': 'San Pedro de Atacama', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'El Loa', 'short_name': 'El Loa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Región de Antofagasta', 'short_name': 'Región de Antofagasta', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Chile', 'short_name': 'CL', 'types': ['country', 'political']}], 'formatted_address': 'Ruta 23 80, San Pedro de Atacama, Región de Antofagasta, Chile', 'geometry': {'location': {'lat': -22.8167258, 'lng': -68.3443379}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -22.8153768197085, 'lng': -68.3429889197085}, 'southwest': {'lat': -22.8180747802915, 'lng': -68.34568688029151}}}, 'place_id': 'ChIJtdKIR-ZvqZYR1wRotflSICg', 'types': ['street_address']}",El Loa,Chile,"-22.82,-68.484",2008
6,1/5/2008,10:39:14,51.324,-130.39,Earthquake,10.0,,196.0,5.7,MWC,,,141.1,,,1.5,USP000FW0T,US,US,GCMT,Reviewed,"{'address_components': [{'long_name': 'Central Coast A', 'short_name': 'Central Coast A', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Central Coast', 'short_name': 'Central Coast', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'British Columbia', 'short_name': 'BC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}], 'formatted_address': 'Central Coast A, BC, Canada', 'geometry': {'bounds': {'northeast': {'lat': 53.308921, 'lng': -125.7690469}, 'southwest': {'lat': 50.0000021, 'lng': -132.0000009}}, 'location': {'lat': 51.6149076, 'lng': -128.4617674}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 53.308921, 'lng': -125.7690469}, 'southwest': {'lat': 50.0000021, 'lng': -132.0000009}}}, 'place_id': 'ChIJuV8b7qE2ZVQRD4yg0qFd8G4', 'types': ['administrative_area_level_3', 'political']}",Central Coast,Canada,"51.324,-130.39",2008
7,1/5/2008,11:01:06,51.254,-130.746,Earthquake,15.0,,422.0,6.6,MWC,,,66.7,,,1.29,USP000FW0W,US,US,GCMT,Reviewed,"{'address_components': [{'long_name': 'Central Coast A', 'short_name': 'Central Coast A', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Central Coast', 'short_name': 'Central Coast', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'British Columbia', 'short_name': 'BC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}], 'formatted_address': 'Central Coast A, BC, Canada', 'geometry': {'bounds': {'northeast': {'lat': 53.308921, 'lng': -125.7690469}, 'southwest': {'lat': 50.0000021, 'lng': -132.0000009}}, 'location': {'lat': 51.6149076, 'lng': -128.4617674}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 53.308921, 'lng': -125.7690469}, 'southwest': {'lat': 50.0000021, 'lng': -132.0000009}}}, 'place_id': 'ChIJuV8b7qE2ZVQRD4yg0qFd8G4', 'types': ['administrative_area_level_3', 'political']}",Central Coast,Canada,"51.254,-130.746",2008
8,1/5/2008,11:44:48,51.163000000000004,-130.542,Earthquake,10.0,,462.0,6.4,MWC,,,42.7,,,1.15,USP000FW12,US,US,US,Reviewed,"{'address_components': [{'long_name': 'Central Coast A', 'short_name': 'Central Coast A', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Central Coast', 'short_name': 'Central Coast', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'British Columbia', 'short_name': 'BC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}], 'formatted_address': 'Central Coast A, BC, Canada', 'geometry': {'bounds': {'northeast': {'lat': 53.308921, 'lng': -125.7690469}, 'southwest': {'lat': 50.0000021, 'lng': -132.0000009}}, 'location': {'lat': 51.6149076, 'lng': -128.4617674}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 53.308921, 'lng': -125.7690469}, 'southwest': {'lat': 50.0000021, 'lng': -132.0000009}}}, 'place_id': 'ChIJuV8b7qE2ZVQRD4yg0qFd8G4', 'types': ['administrative_area_level_3', 'political']}",Central Coast,Canada,"51.163,-130.542",2008
9,1/5/2008,19:55:31,-62.138999999999996,-155.695,Earthquake,10.0,,17.0,5.7,MWC,,,93.6,,,1.11,USP000FW1V,US,US,GCMT,Reviewed,{},,,"-62.139,-155.695",2008
